,0
180,<(B748) D-ABYP - Altitude: 34000 - Ground Speed: 465 - Heading: 195>
181,<(B748) B-LJG - Altitude: 38000 - Ground Speed: 413 - Heading: 242>
182,<(B77L) D-AALU - Altitude: 37100 - Ground Speed: 494 - Heading: 125>
183,<(GLF5) N80AD - Altitude: 47008 - Ground Speed: 429 - Heading: 228>
184,<(B789) C-FGDZ - Altitude: 34000 - Ground Speed: 462 - Heading: 254>
185,<(A320) F-WTAM - Altitude: 40000 - Ground Speed: 456 - Heading: 213>
186,<(B788) N780AV - Altitude: 40000 - Ground Speed: 490 - Heading: 207>
187,<(B748) LX-VCH - Altitude: 37000 - Ground Speed: 484 - Heading: 118>
188,<(A321) N986JB - Altitude: 0 - Ground Speed: 0 - Heading: 270>
189,<(GLF5) N/A - Altitude: 43000 - Ground Speed: 430 - Heading: 226>
190,<(B77W) B-18002 - Altitude: 35000 - Ground Speed: 550 - Heading: 80>
191,<(B77L) N860FD - Altitude: 0 - Ground Speed: 0 - Heading: 329>
192,<(B763) N/A - Altitude: 36025 - Ground Speed: 395 - Heading: 248>
193,<(B788) C-GHPX - Altitude: 39975 - Ground Speed: 408 - Heading: 269>
194,<(B788) A7-BCZ - Altitude: 37950 - Ground Speed: 404 - Heading: 278>
195,<(B78X) PH-BKD - Altitude: 37975 - Ground Speed: 422 - Heading: 232>
196,<(MD11) N610FE - Altitude: 0 - Ground Speed: 0 - Heading: 129>
197,<(BALL) N/A - Altitude: 2350 - Ground Speed: 135 - Heading: 264>
198,<(A359) B-18906 - Altitude: 41100 - Ground Speed: 552 - Heading: 93>
199,<(B77L) D-ALFB - Altitude: 36000 - Ground Speed: 472 - Heading: 210>
200,<(A359) B-18908 - Altitude: 41000 - Ground Speed: 554 - Heading: 80>
201,<(B772) PH-BQD - Altitude: 17375 - Ground Speed: 428 - Heading: 161>
202,<(A359) B-322Y - Altitude: 7950 - Ground Speed: 250 - Heading: 156>
203,<(B789) C-FRTW - Altitude: 39000 - Ground Speed: 497 - Heading: 113>
204,<(A339) OO-ABF - Altitude: 36125 - Ground Speed: 427 - Heading: 229>
205,<(A332) EC-MKI - Altitude: 4225 - Ground Speed: 276 - Heading: 229>
206,<(B77W) PK-GIF - Altitude: 33000 - Ground Speed: 495 - Heading: 116>
207,<(A339) N402DX - Altitude: 35975 - Ground Speed: 474 - Heading: 269>
208,<(B763) PT-MSO - Altitude: 36025 - Ground Speed: 461 - Heading: 213>
209,<(A333) F-HSKY - Altitude: 36000 - Ground Speed: 413 - Heading: 249>
210,<(B77L) N848FD - Altitude: 0 - Ground Speed: 0 - Heading: 143>
211,<(A359) B-1086 - Altitude: 39100 - Ground Speed: 486 - Heading: 132>
212,<(A339) F-HSKA - Altitude: 1425 - Ground Speed: 134 - Heading: 99>
213,<(B77W) F-GZNU - Altitude: 34000 - Ground Speed: 501 - Heading: 206>
214,<(A359) 9M-MAB - Altitude: 41000 - Ground Speed: 491 - Heading: 131>
215,<(A359) OH-LWP - Altitude: 40000 - Ground Speed: 495 - Heading: 184>
216,<(A343) EC-MQM - Altitude: 18175 - Ground Speed: 388 - Heading: 246>
217,<(B772) F-GSPY - Altitude: 36000 - Ground Speed: 490 - Heading: 200>
218,<(A332) D-AIYD - Altitude: 38000 - Ground Speed: 484 - Heading: 227>
219,<(B77W) F-GSQE - Altitude: 35000 - Ground Speed: 476 - Heading: 176>
220,<(B789) JA890A - Altitude: 0 - Ground Speed: 18 - Heading: 247>
221,<(B789) F-OVAA - Altitude: 37975 - Ground Speed: 461 - Heading: 200>
222,<(B78X) PH-BKC - Altitude: 39000 - Ground Speed: 508 - Heading: 199>
223,<(A339) CS-TUC - Altitude: 40000 - Ground Speed: 429 - Heading: 260>
224,<(B77L) TC-LJP - Altitude: 36000 - Ground Speed: 437 - Heading: 251>
225,<(B772) G-YMME - Altitude: 0 - Ground Speed: 38 - Heading: 90>
226,<(A359) N501DN - Altitude: 39000 - Ground Speed: 529 - Heading: 115>
227,<(B788) N801AC - Altitude: 0 - Ground Speed: 6 - Heading: 284>
228,<(A332) N383HA - Altitude: 39000 - Ground Speed: 485 - Heading: 72>
229,<(A333) N815NW - Altitude: 40000 - Ground Speed: 443 - Heading: 189>
230,<(A333) N827NW - Altitude: 40000 - Ground Speed: 459 - Heading: 189>
231,<(B763) D-ABUA - Altitude: 37025 - Ground Speed: 475 - Heading: 185>
